car_km_per_year,public_transport_km_per_year,flights_per_year,electricity_kwh_per_year,natural_gas_m3_per_year,renewable_energy_percentage,diet_type,meat_kg_per_year,waste_kg_per_year,recycling_rate,house_size_m2,num_people_household,carbon_footprint_kgCO2_per_year
18977,8770,6,2125,1306,68,vegetarian,8,419,80,47,2,8944.74
10160,193,8,4117,2121,52,non_vegetarian,93,811,49,198,3,12527.228
14124,2007,1,5161,2402,53,vegetarian,83,279,39,99,2,10618.827000000001
16282,1185,7,5042,1750,41,vegetarian,20,956,45,76,5,11269.480000000001
10488,2394,8,5433,496,44,vegan,92,467,50,129,3,7647.639999999999
5240,9984,9,3170,987,89,vegetarian,24,175,10,71,3,6553.049999999999
10453,9302,9,1446,2627,13,non_vegetarian,43,748,11,193,3,13048.006
10478,4005,8,3658,909,28,vegan,24,749,12,185,2,8746.746000000001
12394,7429,9,4362,372,5,non_vegetarian,8,595,63,103,2,8528.47
19262,2261,6,3718,361,6,non_vegetarian,61,621,7,67,1,10621.464
4432,3736,8,4483,2140,36,non_vegetarian,25,300,64,146,2,9657.16
13568,6716,8,3944,1344,52,vegan,56,929,8,188,2,10524.784000000001
14178,4875,2,5376,323,17,non_vegetarian,36,445,91,117,4,7500.4800000000005
17660,8921,3,1595,2431,86,vegan,15,582,1,137,3,10819.824
302,4378,1,2986,574,37,vegan,36,318,77,112,2,2943.942
17022,7815,9,3750,735,58,non_vegetarian,75,159,12,86,3,10579.506
55,3451,2,2074,2784,0,non_vegetarian,23,758,1,93,3,9260.306
13013,7616,4,4969,2393,67,non_vegetarian,25,718,67,103,4,10690.777
8717,9836,4,5305,1215,43,non_vegetarian,19,649,75,174,3,7982.175
8150,2800,5,5221,1695,46,non_vegetarian,8,745,47,179,2,8746.4
2125,8333,6,5587,1907,34,non_vegetarian,86,320,73,29,3,10476.880000000001
11479,5410,6,4580,718,86,non_vegetarian,28,914,2,187,1,8191.196000000001
15745,1455,0,4007,780,90,vegetarian,30,601,67,164,1,5744.094
16748,6892,1,1969,1019,59,vegan,18,232,5,137,4,6879.765
6809,5808,8,1580,1403,89,non_vegetarian,19,945,86,116,2,7296.240000000001
4621,6796,9,3824,1426,51,non_vegetarian,86,152,4,25,4,9887.536000000002
15034,4796,1,5001,663,7,vegetarian,26,549,2,186,1,8467.501
13623,5093,5,2211,1772,79,vegan,93,161,9,37,2,8771.323
5126,1325,0,1229,2647,40,vegan,84,122,42,91,3,7335.118
5122,4976,2,5284,10,2,non_vegetarian,43,143,18,108,2,5754.428
18030,9405,1,4185,2234,95,non_vegetarian,34,919,13,61,5,11256.029
17302,1159,2,1501,2773,68,non_vegetarian,70,657,20,23,2,12640.59
19181,4650,4,3132,1038,83,non_vegetarian,21,758,42,39,3,8769.272
5870,4987,9,1048,2825,13,non_vegetarian,73,827,27,47,5,12836.908
1531,4697,5,4566,2458,95,vegan,86,951,20,187,4,8655.039999999999
8172,340,8,4055,584,25,vegan,14,146,35,123,2,6586.445
19729,3828,9,1688,1075,69,vegan,93,958,23,63,4,10628.828000000001
7673,1968,3,1386,2624,57,non_vegetarian,97,919,53,42,2,11325.464
6882,703,6,1969,1374,99,vegetarian,12,123,37,66,1,5970.877
1906,5482,5,4460,1451,39,non_vegetarian,3,756,16,32,1,7391.6720000000005
3086,6376,1,2005,1854,50,non_vegetarian,81,188,21,163,3,7849.586
13503,1800,9,4052,1789,4,vegan,55,273,82,114,1,10949.012
8152,5463,7,4417,742,76,non_vegetarian,22,675,44,35,5,6941.99
5750,4912,6,3302,1776,31,non_vegetarian,96,218,73,138,5,10284.738000000001
12772,4648,6,3283,203,79,vegetarian,97,834,60,184,2,6947.495000000001
10267,855,7,2607,1076,0,vegan,33,767,10,199,4,8722.39
1062,2866,0,5366,973,76,non_vegetarian,99,277,60,136,5,5818.0599999999995
18360,182,0,1122,2987,53,vegan,98,931,37,29,2,11503.724000000002
17680,3112,7,2280,1398,10,vegetarian,16,441,65,141,4,9757.43
6229,5670,3,4727,1865,52,non_vegetarian,27,667,32,57,1,8689.188
16509,4492,4,1258,1299,7,non_vegetarian,13,158,42,63,2,8225.322
15147,5823,7,1947,1054,24,vegan,33,537,30,114,4,8773.23
4632,1517,4,5958,1158,39,non_vegetarian,74,527,34,93,3,8759.516
6288,5002,9,1524,104,31,non_vegetarian,56,525,36,132,3,6608.280000000001
3596,1356,3,1887,252,87,vegetarian,76,480,46,70,5,3656.2149999999997
11475,3629,5,1207,294,27,non_vegetarian,96,585,99,71,4,7357.535
6168,3628,4,4382,2715,77,vegan,54,831,22,111,3,9807.254
9795,8210,6,3794,1181,2,vegetarian,65,284,35,78,5,9300.34
7561,6132,9,1148,548,99,non_vegetarian,97,658,39,32,2,8512.024
8258,9324,6,1437,2678,90,non_vegetarian,92,559,89,188,2,11640.332
16616,6588,3,3202,1777,83,vegetarian,36,988,88,31,4,8928.178
6371,3311,4,4749,298,78,non_vegetarian,67,201,80,69,4,5439.499999999999
14369,6048,2,4161,1748,61,non_vegetarian,75,655,14,76,4,11022.535000000002
12910,6246,3,4901,1843,26,non_vegetarian,25,114,36,197,4,9949.998
7943,987,3,5453,100,44,vegan,60,847,3,138,3,5917.652
12199,3321,2,4245,2379,91,non_vegetarian,91,972,21,76,3,11894.059000000001
15728,4615,9,5551,2883,24,vegan,66,150,80,27,5,13912.13
6738,8365,4,3823,1774,60,vegetarian,83,408,21,125,3,8779.126
15913,3741,4,5724,2440,43,non_vegetarian,73,133,80,156,2,12899.87
2472,3052,6,4270,873,96,non_vegetarian,51,735,77,139,5,5659.69
19123,6574,3,1485,2428,45,non_vegetarian,17,688,77,82,3,10911.507
15679,726,3,1199,91,13,vegan,52,734,16,91,4,6016.273
1761,3760,8,5466,446,7,vegetarian,62,304,71,150,3,6969.5779999999995
10167,5806,5,2982,108,47,non_vegetarian,52,839,97,32,1,6029.236000000001
10554,1875,3,2471,316,13,vegan,26,169,89,156,5,4835.2970000000005
17260,6993,1,5343,1835,64,non_vegetarian,30,329,93,71,3,9534.844
14277,4033,5,5883,1943,79,vegan,90,579,85,81,3,9453.095
3812,5443,1,3311,1458,81,non_vegetarian,0,632,79,138,2,4753.991
17844,989,4,4373,441,6,non_vegetarian,5,207,93,128,4,7716.642
18117,3744,5,3078,2265,78,non_vegetarian,10,975,79,27,4,10567.73
1605,8611,3,2521,1245,87,non_vegetarian,33,340,37,114,2,5431.975
5622,593,2,1604,2720,48,non_vegetarian,83,350,23,144,2,10237.19
6767,1774,6,4848,1551,54,vegetarian,62,234,99,192,1,8000.352000000001
11613,935,1,4342,277,12,vegetarian,52,189,98,72,5,5792.634
19901,3808,5,2417,568,72,non_vegetarian,84,690,5,82,4,10342.88
10589,331,3,5597,1009,55,vegetarian,84,539,67,114,2,7615.841
13918,7922,5,4875,2922,55,non_vegetarian,17,788,81,100,2,12099.071
13046,2702,3,3933,2513,14,vegetarian,20,397,5,76,5,11160.36
2590,5889,3,1548,838,56,vegetarian,18,506,25,166,2,4505.110000000001
17447,5054,3,1838,2801,57,non_vegetarian,3,407,90,86,1,10643.53
4324,3868,8,4815,1607,34,non_vegetarian,76,201,40,65,5,10130.23
10787,4200,6,1847,2885,87,non_vegetarian,81,460,74,113,1,12159.735
9111,201,2,5709,29,96,non_vegetarian,28,946,37,157,3,4333.194
5342,2497,2,5507,2406,15,non_vegetarian,24,723,79,132,4,9767.019
16389,1842,5,5773,1942,7,vegetarian,55,792,82,112,2,12187.453
8659,9101,5,5254,2133,92,vegan,76,715,42,165,5,9069.869999999999
14043,4658,3,5468,1257,86,non_vegetarian,62,627,52,159,1,8903.988000000001
8837,7544,8,3272,2794,44,non_vegetarian,26,707,14,68,4,12445.196
117,7718,3,4320,2360,94,non_vegetarian,59,392,89,42,4,7679.516
13917,770,8,3558,364,39,non_vegetarian,82,245,55,81,2,9047.54
18935,3155,3,5698,1800,53,vegetarian,48,503,55,30,4,10689.21
14309,1628,1,5311,1822,13,vegetarian,64,913,30,92,2,11161.865
13234,386,1,2996,1862,58,non_vegetarian,37,101,82,137,3,8300.984
5560,6031,4,4673,904,93,vegan,82,218,56,107,2,5000.561
846,6439,3,2564,697,52,vegetarian,51,954,50,108,1,4797.610000000001
10954,6401,6,5018,2178,26,vegan,0,705,23,74,4,11200.64
13703,4008,4,2840,2850,46,vegetarian,39,290,57,172,4,11158.759999999998
15385,2466,5,4291,2836,79,non_vegetarian,80,102,72,28,4,12784.262999999999
13746,2282,9,3887,1855,5,non_vegetarian,20,586,86,31,2,11357.297
6469,1856,3,1726,350,54,non_vegetarian,85,722,3,158,5,6789.192
9333,7980,1,2244,179,96,non_vegetarian,14,276,9,132,2,3748.5680000000007
16608,1998,9,4460,1503,43,vegan,49,356,62,185,1,10456.704000000002
12819,5476,8,4718,1186,17,non_vegetarian,47,972,72,175,2,10926.458
4208,9428,9,2065,1806,15,vegetarian,31,633,82,27,4,8676.217
6283,4669,6,5771,773,11,vegan,48,576,14,194,3,8254.993
2048,9342,3,1282,509,19,vegetarian,67,497,97,55,1,4095.248
6233,4318,2,2081,364,44,non_vegetarian,44,595,62,144,3,4868.16
12941,7064,9,4885,352,63,non_vegetarian,31,319,18,69,1,8106.969000000001
12607,7446,2,3881,2847,58,non_vegetarian,3,272,62,126,1,10169.758
9765,1431,8,3584,1106,92,non_vegetarian,64,835,55,28,4,8784.26
1828,5624,4,3970,1248,93,vegetarian,96,489,20,86,2,6281.91
1917,7461,2,2152,411,89,non_vegetarian,70,601,33,72,4,4811.616
6988,1819,4,4497,734,21,non_vegetarian,72,676,16,101,4,8698.976999999999
18410,1130,1,1947,117,96,vegan,64,888,17,129,4,5933.712000000001
14594,6563,3,5760,481,46,vegetarian,79,860,80,164,3,7890.25
12977,2658,9,2717,191,28,non_vegetarian,17,359,65,72,1,7023.59
9,3500,1,1066,2638,85,non_vegetarian,53,230,50,175,5,7420.75
16644,8566,1,1636,2637,44,non_vegetarian,46,212,64,133,2,11118.556
9865,2120,7,1313,2706,76,non_vegetarian,5,897,42,82,4,10470.028
2219,4020,0,4397,106,8,non_vegetarian,65,898,56,162,1,5345.636
7041,3259,6,1564,381,23,vegetarian,8,822,9,38,2,5889.726000000001
18444,1823,4,2601,782,14,vegetarian,67,119,36,143,5,8503.968
5287,1474,7,1825,2437,35,vegan,22,314,47,105,5,8766.581
1619,2242,0,4670,243,12,vegetarian,42,409,68,89,4,3779.284
8512,3243,6,2025,2632,90,non_vegetarian,50,350,55,66,5,10363.3
1342,6990,4,3251,2916,43,non_vegetarian,71,587,75,127,5,10557.585000000001
10568,5160,3,5757,467,70,non_vegetarian,24,481,35,195,2,6129.92
19216,3134,6,1804,865,71,vegetarian,79,508,30,39,2,9198.06
19208,2070,9,3451,2981,77,non_vegetarian,34,370,54,56,4,13778.325
18378,359,1,5631,1561,75,vegetarian,16,506,37,149,1,8559.229
14231,1141,0,2391,1233,35,vegan,17,791,72,55,4,6636.789000000001
3490,1635,0,2235,603,60,non_vegetarian,26,293,89,152,3,3192.764
9310,4000,0,5032,1660,80,non_vegetarian,14,540,14,83,5,7099.12
7984,3361,4,4280,1096,39,vegan,80,412,15,26,1,7324.61
17988,6583,9,5723,2015,92,vegetarian,68,178,76,139,2,11430.566
12219,7835,6,5844,1658,26,non_vegetarian,79,279,88,41,3,12007.094
235,6,1,4549,1733,0,vegetarian,14,774,93,65,3,6324.3240000000005
10161,3267,9,5200,1613,33,vegetarian,41,813,52,187,5,10669.482
1908,6564,7,5141,859,67,non_vegetarian,33,113,55,129,2,6008.595
8567,9783,3,2354,1879,87,vegan,47,958,6,65,1,8738.296
3530,4928,2,2836,1276,20,vegan,82,345,56,47,2,5854.84
5256,2606,9,3892,12,32,vegan,7,113,54,106,5,4910.144
19019,5906,7,3496,2346,6,non_vegetarian,9,198,51,54,3,12601.856000000002
8162,3273,1,3583,1099,64,non_vegetarian,4,132,3,148,5,5227.4619999999995
18944,7611,2,3558,1074,2,vegan,47,535,42,176,4,9373.11
5415,913,2,4618,786,50,vegetarian,25,356,39,28,3,5083.538
3391,2011,9,2559,148,78,vegan,85,133,29,28,5,4235.214
11157,1442,0,2507,1754,94,vegetarian,22,118,9,41,1,6376.994
5951,5546,5,5071,2169,53,non_vegetarian,61,763,93,89,1,9990.323
8007,1829,1,3063,1303,79,non_vegetarian,12,359,6,160,1,5801.893
9064,8767,0,4642,2585,73,vegan,8,775,35,166,4,8997.77
15524,6468,1,3000,1179,92,vegan,19,688,34,180,2,7076.144000000001
19282,929,5,2294,2423,58,vegetarian,91,925,87,84,1,11925.54
77,3699,3,5065,81,5,vegan,56,515,38,159,4,4395.365
7577,9655,5,3752,491,28,vegan,23,236,35,62,1,5981.19
16984,1054,8,2753,2403,16,non_vegetarian,32,458,19,36,4,12943.524
14060,5744,9,5210,2025,59,non_vegetarian,19,819,48,87,1,11746.834
17449,1900,9,2603,924,21,non_vegetarian,59,853,95,48,2,10380.755000000001
18520,9649,7,2322,1296,23,vegan,47,678,58,154,5,10188.787999999999
10535,6980,0,3441,1603,80,non_vegetarian,63,215,48,63,1,7908.34
9510,7069,7,2098,1596,84,vegetarian,29,503,89,152,5,7856.384
6943,9591,8,2505,122,50,vegetarian,72,301,25,153,1,6116.75
11954,3415,5,2126,707,49,non_vegetarian,16,475,35,26,2,6755.43
7804,442,9,1296,2377,10,vegetarian,99,349,42,193,5,10870.956
6565,6218,4,4049,990,55,non_vegetarian,13,545,98,73,4,5885.545
5984,4652,5,3225,2370,70,non_vegetarian,18,377,42,65,1,8782.738
4670,7939,5,5354,2817,41,non_vegetarian,70,211,98,157,1,11691.976
18574,7833,8,4787,2040,38,non_vegetarian,58,942,75,23,4,13660.32
9184,9370,3,3096,2480,68,vegetarian,66,572,32,172,2,10101.788
19096,7597,1,4609,709,47,non_vegetarian,96,845,99,110,3,9695.645
2192,4458,8,3208,793,56,non_vegetarian,43,787,77,80,1,6439.878
1248,6591,1,1175,711,20,non_vegetarian,31,491,96,185,4,3593.502
11246,9449,9,3502,2586,81,vegetarian,10,242,44,179,3,10855.276
12790,2309,8,4999,2648,98,non_vegetarian,1,131,44,170,1,10178.488
18381,6268,1,2667,1717,19,vegetarian,89,280,87,130,5,10020.755000000001
3687,910,7,5371,256,14,non_vegetarian,67,678,14,56,4,8212.974
4018,4340,8,3545,1212,68,vegetarian,16,615,94,22,5,6294.219999999999
11302,4009,9,1675,870,76,non_vegetarian,80,897,16,32,2,10168.114000000001
1970,6628,8,2823,2946,50,vegan,91,368,11,181,3,10404.086
8389,2169,9,2356,1731,75,vegetarian,93,335,21,107,4,9524.62
17586,2172,8,4072,808,61,vegetarian,39,376,22,95,1,9090.244
15374,5668,1,4259,2724,84,vegan,86,652,89,27,1,9990.416
5788,6313,3,1546,270,36,vegetarian,45,732,77,102,3,4168.518
5408,8315,6,3083,1543,5,vegan,87,374,11,28,5,8616.723
9446,8036,1,3040,549,70,non_vegetarian,92,842,67,175,5,7079.148
922,6789,0,5534,1137,25,non_vegetarian,3,915,50,97,4,5777.6
419,785,2,2752,567,7,non_vegetarian,37,185,12,143,4,4328.7699999999995
18588,6139,3,2615,358,72,vegetarian,62,162,56,165,5,6821.954000000001
10789,6344,7,2849,1673,90,vegan,28,503,54,61,4,8281.134
1120,2416,5,3642,1637,3,vegetarian,18,291,81,60,5,6977.692
11260,8988,1,2600,1357,20,non_vegetarian,90,392,27,180,3,9650.488
17334,4154,8,4396,1712,30,non_vegetarian,28,130,43,108,4,11526.48
2336,5619,1,5402,1362,20,vegan,99,429,18,96,5,7050.754000000001
5373,1936,4,4605,797,24,vegetarian,34,757,45,73,4,6723.7300000000005
2243,3807,3,4799,1284,14,non_vegetarian,69,206,2,183,1,8246.904
19029,7151,6,1618,886,34,non_vegetarian,22,970,82,116,1,8877.570000000002
4612,9493,7,2132,1758,48,non_vegetarian,45,721,19,117,2,9483.588000000002
13946,3236,4,3115,1222,42,non_vegetarian,43,375,24,75,5,8972.35
18249,2352,9,3339,2258,40,vegan,47,821,74,119,2,12173.127999999997
11104,1932,4,3739,286,36,vegetarian,51,750,55,164,5,6381.88
13429,8556,1,5276,1715,56,vegan,7,697,80,29,4,8243.039999999999
6371,4916,7,2487,1785,41,vegan,54,655,60,63,5,8336.865
6359,5498,1,2557,742,46,vegan,65,181,54,149,1,4471.9580000000005
7863,946,9,3113,1505,91,non_vegetarian,76,163,34,161,4,9265.629
3228,9569,5,2044,2040,60,vegetarian,39,989,77,188,1,7798.796
14382,1439,7,3431,1046,13,vegan,84,954,58,149,4,9457.659
18755,7730,5,2582,295,67,vegan,30,932,38,38,5,7605.642
2891,4857,3,2308,2053,52,vegetarian,47,666,56,99,5,7392.942
3756,340,3,5917,2597,83,vegan,99,685,82,108,1,7971.685000000001
15770,382,5,1601,680,33,non_vegetarian,60,984,66,20,3,8541.643
16478,9748,3,2620,1891,75,non_vegetarian,51,228,33,149,5,10294.468
2674,8491,7,5880,794,96,vegan,37,355,40,46,3,4998.150000000001
6898,138,8,5766,202,23,non_vegetarian,90,330,21,21,4,8909.67
10147,358,0,1100,324,19,vegetarian,35,596,26,198,3,4407.1720000000005
793,4931,3,5271,2872,68,non_vegetarian,86,236,20,157,1,10404.35
2116,9714,3,1237,2291,29,vegan,54,962,40,38,2,8010.595
5779,3456,1,5025,326,87,vegan,84,554,30,160,2,3708.865
12298,1627,5,3918,986,6,non_vegetarian,12,454,26,195,1,8533.137999999999
14153,9495,2,3542,760,35,vegan,36,723,36,133,2,7503.795999999999
11111,6626,6,3003,1036,37,vegetarian,46,584,65,75,1,8060.365000000001
10789,5004,4,2537,906,79,vegetarian,89,919,53,197,5,7465.359
11397,9326,3,1754,1403,51,vegan,70,245,8,114,3,7515.150000000001
12999,6652,4,4368,364,14,vegan,21,132,82,192,2,6694.808
814,6416,7,3258,1244,45,non_vegetarian,38,359,41,186,5,7024.808
16729,3170,2,4665,2120,22,non_vegetarian,86,186,35,168,2,12603.270000000002
10541,3835,6,5235,1648,11,non_vegetarian,57,942,9,76,4,12507.521
2443,8017,5,1540,1069,92,vegan,29,364,58,121,1,4770.834
10457,2151,0,1269,273,43,vegan,17,931,39,188,1,4220.653
10380,9429,6,4460,2255,14,vegan,17,641,53,89,5,11109.336
7783,6905,6,4408,1952,92,vegan,73,491,38,101,4,8424.326
11473,2834,0,1505,1884,48,non_vegetarian,38,331,6,68,3,8181.652
17368,9190,8,2129,123,20,vegetarian,93,687,3,191,4,9485.702000000001
15328,2567,5,3079,1352,14,non_vegetarian,25,546,14,182,4,9992.128000000002
827,1307,1,4145,2590,13,vegan,70,228,75,110,3,7944.425
19915,8848,4,4242,1691,41,vegetarian,6,370,47,24,3,10492.77
7147,2660,3,5908,2107,79,vegetarian,68,188,5,198,4,8386.22
4451,3730,6,1361,2946,14,vegetarian,64,565,72,76,2,10202.69
15343,6207,7,4720,2933,62,vegan,45,269,34,111,2,12454.322
13635,3162,0,2456,2829,67,vegetarian,17,227,71,55,4,9296.334
5959,1140,4,5067,441,26,vegetarian,12,273,70,157,2,5315.01
126,8458,2,5195,1240,86,non_vegetarian,24,125,67,197,3,4514.0
19561,1708,0,2681,910,92,non_vegetarian,7,672,57,184,3,6633.968000000001
8795,3630,2,2052,1025,52,vegetarian,73,610,76,131,2,6232.0
11641,3211,5,3509,1559,51,vegan,31,587,18,167,3,8750.267
7196,6538,6,5727,1741,62,non_vegetarian,16,990,61,32,1,8963.21
11559,9702,7,1681,2879,72,non_vegetarian,78,678,70,141,3,13012.36
3368,475,3,4932,1734,52,non_vegetarian,78,505,9,128,4,9032.22
3797,7684,2,3129,625,56,vegetarian,47,125,24,166,5,4387.48
15114,9168,4,5849,1690,51,non_vegetarian,62,182,43,111,2,11154.937000000002
13718,1207,8,5016,997,42,non_vegetarian,39,463,98,121,2,9322.258
1792,1960,5,4302,2781,6,vegetarian,83,466,57,75,3,10771.524
11053,557,8,1719,90,41,non_vegetarian,14,159,24,64,3,5521.067
3476,882,5,1074,2214,3,vegan,98,650,92,79,5,7560.990000000001
3417,4761,1,2293,206,68,non_vegetarian,5,734,75,73,5,2415.63
1645,5867,4,2922,1088,4,non_vegetarian,93,391,39,56,4,8141.228
14755,6963,8,5157,1911,74,non_vegetarian,62,888,75,56,1,11865.16
19414,7166,7,5969,515,91,non_vegetarian,7,985,69,33,4,8028.335
19256,7929,6,1319,1180,79,vegan,94,915,9,114,2,10252.515000000001
3072,5347,0,3149,1792,40,non_vegetarian,31,893,65,191,3,6810.04
1854,7269,3,2452,2794,93,non_vegetarian,44,290,24,121,4,8742.789999999999
4662,9802,6,5969,2353,3,non_vegetarian,51,560,70,61,3,12202.865
6514,8125,6,2555,1901,1,non_vegetarian,78,903,86,20,3,10609.331
2708,2454,5,5207,2005,66,non_vegetarian,81,763,10,42,4,10232.55
11694,4494,7,4032,394,20,non_vegetarian,12,995,35,47,4,8202.45
9524,1946,5,1460,1097,69,non_vegetarian,23,332,48,151,5,6604.152000000001
19891,2808,9,1886,186,42,non_vegetarian,39,573,47,188,1,8887.182
6456,6642,2,4533,1597,81,vegetarian,13,504,86,37,5,6050.442999999999
4212,3825,3,4936,1591,68,non_vegetarian,91,757,6,68,1,9493.254
13224,3536,2,2115,2670,8,vegetarian,74,370,90,66,4,10700.1
7970,6068,0,2075,729,83,vegetarian,69,946,76,134,1,4871.946999999999
16920,3802,9,4876,239,27,vegetarian,61,233,50,58,2,9115.04
1625,4699,4,5615,2580,25,non_vegetarian,88,270,16,25,5,11609.815
10314,1970,0,5907,140,81,non_vegetarian,60,514,31,72,5,5260.853
7973,5806,0,2924,138,82,non_vegetarian,0,127,25,44,5,2595.51
8577,6142,1,1926,2506,2,vegan,88,235,21,118,3,9037.61
8070,2819,3,5652,69,72,non_vegetarian,65,504,12,84,3,5987.566
8666,9094,5,3281,384,99,non_vegetarian,31,987,11,152,4,6640.479
3600,364,7,2055,629,94,vegan,12,604,70,27,4,4198.81
6783,4258,2,5674,2245,48,vegan,32,340,0,58,3,8819.539999999999
13226,3119,0,1541,204,16,vegan,31,955,32,130,5,5192.69
9146,1863,2,3161,1749,62,non_vegetarian,55,543,13,62,3,8856.278
4971,115,2,3251,567,54,non_vegetarian,23,533,63,101,1,4357.657999999999
13490,7084,4,2052,981,22,vegan,90,327,42,142,5,7641.8679999999995
17589,8016,3,5569,804,33,non_vegetarian,3,608,57,152,3,8693.807
12951,2384,3,3744,1710,68,vegetarian,87,898,40,23,4,9622.78
12312,3935,8,4869,2906,14,vegan,22,402,80,127,3,12828.339999999998
1990,7742,6,5481,881,46,vegan,28,133,67,112,2,5757.1720000000005
5299,5442,3,5157,2035,2,vegetarian,97,101,38,148,3,10101.046
12997,2490,2,5610,973,82,vegan,20,461,0,113,5,6612.6
19956,6980,5,5525,639,27,vegetarian,29,294,40,75,3,9593.845000000001
13472,9134,2,5675,1454,2,non_vegetarian,89,705,44,192,4,12453.49
4380,7661,5,2560,324,3,vegan,19,939,87,22,1,4720.976
4757,1724,8,4762,441,87,non_vegetarian,15,407,97,41,2,4656.108000000001
19097,8182,5,2164,803,30,non_vegetarian,66,746,97,75,5,9664.184
10395,2767,3,3722,2335,44,vegetarian,48,815,87,37,4,9518.22
16241,1137,4,3358,225,58,non_vegetarian,57,349,78,172,2,7137.434
5588,4117,5,1470,1087,44,vegetarian,43,246,80,195,3,5828.110000000001
17350,3420,2,2416,966,74,non_vegetarian,24,445,12,135,2,7739.96
4944,5845,7,2468,2985,36,non_vegetarian,22,447,70,103,1,10626.19
13395,4778,3,1808,559,64,vegan,58,353,8,178,2,6009.108
19816,3906,7,1171,713,8,non_vegetarian,0,498,62,49,2,8213.792
17072,3637,9,5126,497,16,non_vegetarian,96,433,98,99,3,11600.758
4243,2953,9,5142,2896,64,non_vegetarian,14,275,22,85,3,10727.91
9916,5929,2,5225,2973,2,non_vegetarian,80,224,53,29,5,13635.404
9984,276,9,3399,2107,25,vegetarian,97,862,46,78,3,11896.589
1759,1999,6,2645,256,52,non_vegetarian,80,497,38,70,2,5813.202
9181,1227,8,1057,576,30,vegetarian,51,230,86,142,1,6165.96
2482,6337,3,2129,2286,25,vegetarian,57,661,25,156,3,8595.475
951,3735,7,2353,37,22,vegetarian,40,704,0,73,5,4925.82
2079,695,2,1767,2072,29,vegan,43,991,13,100,5,7505.941
2717,9501,6,4895,409,9,non_vegetarian,3,921,95,156,2,5727.565
9692,4152,2,1682,460,71,non_vegetarian,76,506,73,28,3,6107.806
7311,7901,6,4454,1440,88,non_vegetarian,67,831,64,120,3,8851.978
18449,7470,9,3008,2404,63,vegetarian,6,945,68,171,5,12303.1
768,7537,9,4142,382,21,non_vegetarian,45,433,66,58,3,6660.536
5490,2841,5,2790,1832,14,non_vegetarian,8,119,48,155,2,7681.134
15534,4208,1,2477,568,55,vegetarian,86,304,49,172,1,6700.597000000001
6645,8733,2,1885,1071,73,vegan,32,702,57,129,2,5378.273
5232,1088,5,4906,432,19,non_vegetarian,32,454,52,85,3,6457.986000000001
11485,3363,3,5492,55,46,non_vegetarian,83,272,90,29,2,7097.95
5797,24,5,2538,2624,86,non_vegetarian,3,288,56,136,4,8145.356
19719,9764,0,3073,2315,52,non_vegetarian,64,923,85,171,4,11776.73
12342,6144,9,1312,2116,52,vegan,33,101,17,102,3,9901.574
8038,5668,0,1810,1751,0,vegetarian,90,972,15,178,3,9000.16
16002,4236,2,3235,2047,1,non_vegetarian,84,267,1,158,1,12351.319000000001
13087,9959,7,3857,901,57,vegetarian,87,467,12,153,2,9410.832999999999
4873,8068,7,3763,1624,18,non_vegetarian,78,635,44,89,1,10664.91
1481,2235,3,3032,2840,61,non_vegetarian,98,976,79,179,3,10444.118
10093,7295,5,2507,256,77,non_vegetarian,63,679,71,58,3,6489.093000000001
19835,8392,7,5545,671,71,non_vegetarian,24,469,42,195,5,9420.261
14422,8448,6,3570,489,11,vegan,54,805,71,32,1,8085.260000000001
16438,3747,6,2894,2793,25,non_vegetarian,8,695,53,78,3,12450.17
7643,3175,3,3705,2096,26,non_vegetarian,16,536,73,86,4,8692.696
19846,4897,8,1596,1682,28,non_vegetarian,20,306,96,60,5,10714.642
15708,5037,9,3147,315,14,non_vegetarian,59,148,30,54,2,9406.14
11271,7427,5,1615,2460,45,vegetarian,12,643,75,185,5,9691.025
17216,8605,2,1947,433,0,non_vegetarian,2,928,8,100,2,7803.718000000001
12600,2014,4,5651,1025,59,non_vegetarian,67,781,72,53,4,9031.778999999999
10998,1381,4,5373,1975,91,vegetarian,3,228,47,95,2,7718.446999999999
14295,1098,4,4764,1979,56,non_vegetarian,91,546,17,89,1,12192.704
10682,3426,7,3013,1389,2,non_vegetarian,6,713,93,30,2,8563.908
16380,3655,8,4697,419,17,non_vegetarian,25,134,95,131,2,8933.065
8519,7938,8,1490,1596,51,vegan,74,918,86,46,5,8288.686000000002
19694,9101,5,5350,1584,59,non_vegetarian,23,298,10,67,4,11012.36
3300,187,5,3428,843,33,non_vegetarian,9,912,61,43,2,5636.954
6722,5409,8,5987,1467,95,non_vegetarian,12,176,83,37,1,7076.381
7218,2092,3,1541,2963,92,vegetarian,43,468,18,46,5,9557.108
3054,2130,5,2287,433,88,vegetarian,38,932,99,73,4,3500.296
13575,5242,3,2633,2690,59,non_vegetarian,18,625,89,74,4,10256.615
7970,8549,0,5920,1578,25,non_vegetarian,50,448,73,139,3,8965.178
2143,5647,6,3926,2104,71,vegetarian,18,605,23,40,1,8069.749999999999
9503,5185,9,2352,963,18,vegan,75,742,12,134,5,8880.498
15149,5776,5,5376,976,21,vegetarian,51,337,45,181,5,9666.25
18922,7913,8,2298,45,92,non_vegetarian,85,379,52,139,1,8984.426000000001
12175,7547,6,5868,1193,32,vegetarian,46,676,97,77,4,9350.974000000002
8356,7823,6,4967,416,37,vegetarian,29,531,28,195,2,7038.631
